ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.4625,0.2521,0.5021,0.0092,-1.801,-1.3765,0.3333
BIMBOA.MX,arima,0.585,0.343,0.5857,0.0116,-2.8116,-2.8025,0.3333
BIMBOA.MX,lgbm,0.3859,0.1888,0.4345,0.0077,-1.0976,-0.6544,0.3333
BIMBOA.MX,xgb,0.4166,0.3459,0.5882,0.0083,-2.8436,-0.9281,0.3333
CEMEXCPO.MX,Top3Ensamble,0.414,0.3127,0.5592,0.0286,-1.11,0.0463,0.3333
CEMEXCPO.MX,arima,0.4049,0.2935,0.5418,0.028,-0.9804,0.1257,0.3333
CEMEXCPO.MX,lgbm,0.3588,0.2459,0.4959,0.0247,-0.6591,0.1313,0.3333
CEMEXCPO.MX,linreg,0.4948,0.4122,0.642,0.0342,-1.7808,-0.1293,0.3333
EEM,Top3Ensamble,0.321,0.1065,0.3263,0.0065,-4.4338,0.8248,0.1667
EEM,arima,0.2427,0.0595,0.244,0.0049,-2.0374,0.9681,0.1667
EEM,lgbm,0.3519,0.1387,0.3725,0.0072,-6.0779,0.2405,0.3333
EEM,rf,0.3685,0.1366,0.3696,0.0075,-5.9706,0.9578,0.1667
GFNORTEO.MX,Top3Ensamble,1.3369,1.942,1.3936,0.0082,-2.4068,-2.1355,0.8333
GFNORTEO.MX,arima,1.445,2.088,1.445,0.0088,-2.663,-2.663,0.8333
GFNORTEO.MX,lgbm,1.1797,2.6476,1.6271,0.0072,-3.6447,-1.2033,0.8333
GFNORTEO.MX,lstm,1.445,2.088,1.445,0.0088,-2.663,-2.663,0.8333
GLD,Top3Ensamble,1.5413,2.642,1.6254,0.005,-22.5412,-20.1682,0.8333
GLD,arima,1.1,1.21,1.1,0.0036,-9.7816,-9.7816,0.8333
GLD,lgbm,1.9826,4.9922,2.2343,0.0064,-43.4821,-34.0255,0.8333
IEF,Top3Ensamble,0.2466,0.0609,0.2468,0.0026,-269.835,-269.1989,0.3333
IEF,lgbm,0.2616,0.0697,0.264,0.0028,-308.7387,-303.2013,0.3333
IEF,rf,0.1656,0.0282,0.168,0.0018,-124.3911,-120.9064,0.3333
IEF,xgb,0.3124,0.0984,0.3136,0.0033,-436.2565,-432.9178,0.3333
QQQ,Top3Ensamble,3.4255,17.0016,4.1233,0.0061,-2.3435,-0.0359,0.8333
QQQ,arima,2.4609,9.9371,3.1523,0.0044,-0.9542,0.2368,0.8333
QQQ,lgbm,3.3927,20.3032,4.5059,0.006,-2.9927,-0.7292,0.8333
QQQ,xgb,4.423,23.365,4.8337,0.0079,-3.5948,0.2523,0.8333
SPY,Top3Ensamble,3.6216,13.6059,3.6886,0.0058,-2.7296,0.8657,0.6667
SPY,arima,2.7309,8.2146,2.8661,0.0044,-1.2517,0.7925,0.6667
SPY,lgbm,3.4,11.9401,3.4555,0.0054,-2.273,0.8958,0.6667
SPY,xgb,4.7339,22.7861,4.7735,0.0076,-5.246,0.8968,0.6667
VNQ,Top3Ensamble,0.3841,0.2588,0.5088,0.0043,-102.5363,-58.0286,0.3333
VNQ,lgbm,0.5119,0.3482,0.5901,0.0057,-138.2775,-33.4419,0.3333
VNQ,rf,0.4888,0.2986,0.5464,0.0054,-118.4253,-94.5697,0.3333
VNQ,xgb,0.3702,0.1969,0.4437,0.0041,-77.7468,-53.8242,0.3333
WALMEX.MX,Top3Ensamble,2.2241,8.2622,2.8744,0.0415,-1.0655,0.1711,0.8333
WALMEX.MX,arima,2.057,7.5803,2.7532,0.0384,-0.8951,0.1628,0.8333
WALMEX.MX,linreg,2.2683,8.3639,2.892,0.0422,-1.091,0.1953,0.8333
WALMEX.MX,rf,2.3469,8.8884,2.9813,0.0437,-1.2221,0.1549,0.8333
